Date	Time	Severity	PID	TID	Function	Message
15-06-2026	19:39:31.888	 INFO	 58360	 82568	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	19:39:31.904	 INFO	 58360	 98136	LateInitialization	"Intialization..."
15-06-2026	19:39:31.907	 INFO	 58360	 98136	LateInitialization	"Exe = C:\Users\supriyaa\AppData\Local\Programs\Git\usr\bin\bash.exe"
15-06-2026	19:39:31.912	 INFO	 58360	 98136	LateInitialization	"IsExplorer = 0"
15-06-2026	19:39:31.918	 INFO	 58360	 98136	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
15-06-2026	19:39:31.924	 INFO	 58360	 98136	LateInitialization	"Intialization finished"
15-06-2026	19:55:00.233	 INFO	 89420	 27556	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	19:55:00.236	 INFO	 89420	 96568	LateInitialization	"Intialization..."
15-06-2026	19:55:00.238	 INFO	 89420	 96568	LateInitialization	"Exe = C:\Users\supriyaa\AppData\Local\Programs\Git\usr\bin\bash.exe"
15-06-2026	19:55:00.239	 INFO	 89420	 96568	LateInitialization	"IsExplorer = 0"
15-06-2026	19:55:00.241	 INFO	 89420	 96568	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
15-06-2026	19:55:00.246	 INFO	 89420	 96568	LateInitialization	"Intialization finished"
15-06-2026	23:49:41.243	 INFO	 23516	 37872	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	23:49:41.246	 INFO	 23516	 96956	LateInitialization	"Intialization..."
15-06-2026	23:49:41.247	 INFO	 23516	 96956	LateInitialization	"Exe = C:\Users\supriyaa\AppData\Local\Programs\Git\usr\bin\bash.exe"
15-06-2026	23:49:41.248	 INFO	 23516	 96956	LateInitialization	"IsExplorer = 0"
15-06-2026	23:49:41.250	 INFO	 23516	 96956	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
15-06-2026	23:49:41.251	 INFO	 23516	 96956	LateInitialization	"Intialization finished"
