Date	Time	Severity	PID	TID	Function	Message
15-06-2026	19:39:31.770	 INFO	 58360	 94704	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	19:39:31.790	 INFO	 58360	 94704	DllMain	"PROCESS ATTACHED"
15-06-2026	19:39:31.800	 INFO	 58360	 99136	LateInitialization	"Intialization..."
15-06-2026	19:39:31.806	 INFO	 58360	 99136	LoadDisplayDevicesName	"DisplayDevices : "
15-06-2026	19:39:31.818	 INFO	 58360	 99136	LoadDisplayDevicesName	"\\.\DISPLAY1"
15-06-2026	19:39:31.838	 INFO	 58360	 99136	LoadDisplayDevicesName	"\\.\DISPLAY2"
15-06-2026	19:39:31.844	 INFO	 58360	 99136	LoadDisplayDevicesName	"\\.\DISPLAY3"
15-06-2026	19:39:31.847	 INFO	 58360	 99136	LoadDisplayDevicesName	"\\.\DISPLAY4"
15-06-2026	19:55:00.109	 INFO	 89420	 34896	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	19:55:00.126	 INFO	 89420	 34896	DllMain	"PROCESS ATTACHED"
15-06-2026	19:55:00.134	 INFO	 89420	 35924	LateInitialization	"Intialization..."
15-06-2026	19:55:00.140	 INFO	 89420	 35924	LoadDisplayDevicesName	"DisplayDevices : "
15-06-2026	19:55:00.146	 INFO	 89420	 35924	LoadDisplayDevicesName	"\\.\DISPLAY1"
15-06-2026	19:55:00.150	 INFO	 89420	 35924	LoadDisplayDevicesName	"\\.\DISPLAY2"
15-06-2026	19:55:00.153	 INFO	 89420	 35924	LoadDisplayDevicesName	"\\.\DISPLAY3"
15-06-2026	19:55:00.157	 INFO	 89420	 35924	LoadDisplayDevicesName	"\\.\DISPLAY4"
15-06-2026	23:49:41.182	 INFO	 23516	 49772	DllMain	"DLL_PROCESS_ATTACH Sun Apr 27 14:47:17 2025 11.4.2500.28"
15-06-2026	23:49:41.196	 INFO	 23516	 49772	DllMain	"PROCESS ATTACHED"
15-06-2026	23:49:41.199	 INFO	 23516	104460	LateInitialization	"Intialization..."
15-06-2026	23:49:41.202	 INFO	 23516	104460	LoadDisplayDevicesName	"DisplayDevices : "
15-06-2026	23:49:41.205	 INFO	 23516	104460	LoadDisplayDevicesName	"\\.\DISPLAY1"
15-06-2026	23:49:41.207	 INFO	 23516	104460	LoadDisplayDevicesName	"\\.\DISPLAY2"
15-06-2026	23:49:41.208	 INFO	 23516	104460	LoadDisplayDevicesName	"\\.\DISPLAY3"
15-06-2026	23:49:41.213	 INFO	 23516	104460	LoadDisplayDevicesName	"\\.\DISPLAY4"
15-06-2026	23:49:44.246	ERROR	 23516	104460	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
15-06-2026	23:49:44.248	 INFO	 23516	104460	LateInitialization	"Exe = C:\Users\supriyaa\AppData\Local\Programs\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 688059921
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
15-06-2026	23:49:44.250	 INFO	 23516	104460	LateInitialization	"Intialization finished"
